100000,"Раздел III УПРАВЛЕНИЯ ЛАГЕРЕЙ, ЛАГЕРНЫЕ ОТДЕЛЕНИЯ ЦЕНТРАЛЬНОГО ПОДЧИНЕНИЯ",,,,,,,,,,,,,,,,,
100001,"АВТОТРАНСПОРТНЫЙ ИТЛ ДАЛЬСТРОЯ (ИТЛ Упр. автотранспорта, Транслаг, Транспортное ЛО, ИТЛ Автотранспорта, Автотранспортный ИТЛ УСВИТЛа)",Время существования: организован не позднее 01.02.51 [1]1; закрыт 05.08.54 [2].,"Реорганизован: между 22.05.51 и 01.05.52 из ЛО в ИТЛ [3], {21. Л. 55}2.","Подчинен: ГУ ИТ лагерей Дальстроя в 1951–1952 гг. [1], {21. Л. 55}; УСВИТЛ в 1953–1954 гг. {21. Л. 667}, [2].","Дислокация: Магаданская обл., пос. Мякит {21. Л. 667, 733}.","Литер: АВ-4 {21. Л. 667, 733}.",Телегр. код: нет {21. Л. 667}.,"Адрес: Магаданская обл., пос. Мякит, п/я АВ-261/206 на 01.08.53 {21. Л. 733}; п/я АВ-261/46 на 11.12.53 {21. Л. 667}.","Производство: работа в цехах на участках автобаз, на Спорненском авторем. з-де3, стр-во в пос. Мякит, обслуживание угольных шахт Первомайского угольного р-на {21. Л. 55–70}.",Численность: 22.05.51 — 4316 [3]; 01.09.51 — 59274 [4]; 01.05.52 — 62655 {21. Л. 55–70}; 01.08.53 — 3643 {21. Л. 733}; 02.02.54 — 4433 {21. Л. 671}.,"Начальники: нач. — майор Абаев ?.?. (упом. 01.05.52) {21. Л. 70}; п/п инт.с. Карпов Б.Н., ? — по 15.07.52 [5]; инж.-майор Толкачев С.С., с 15.07.52 — ? [5]; майор Ершов ?.?. (упом. 01.08.53) {21. Л. 733}6.",Архив: ?,,Примечания: ,Источники: ,,с.с.,"61.407434, 152.090060"
,,,,,,,,,,,,,,"1 01.02.51 встречено первое упом. Транслага, но статус лаг. подр. при этом не обозначен; согласно [6], этот ИТЛ был организован в 1952 г. ",ГАРФ. Ф. 9414. Оп. 1д. Д. 159. Л. 26. ,,,
,,,,,,,,,,,,,,"2 22.05.51 Транслаг упом. в качестве ЛО, а 01.05.52 встречено первое упом. ИТЛ Упр. автомобильного транспорта. ",Пр. 0443 МВД от 05.08.54. ,,,
,,,,,,,,,,,,,,"3 Подробнее об истории Спорненского авторем. з-да (пос. Спорный, ныне р.п. Спорное) см. [7]. ",ГАРФ. Ф. 9414. Оп. 1д. Д. 107. Л. 2. ,,,
,,,,,,,,,,,,,,4 Из них 25 женщин [4]. ,Там же. Оп. 1. Д. 509. Л. 87. ,,,
,,,,,,,,,,,,,,"5 Из них 18 женщин, 638 осужденных за к/р преступления {21. Л. 55–70}. ",Пр. 836лс МВД от 15.07.52. ,,,
,,,,,,,,,,,,,,"6 Согласно этому источнику, Ершов стал нач. АВТОТРАНСПОРТНОГО ИТЛ 15.09.52, но в др. документах подтверждения этому не обнаружено.",ГАРФ. Ф. 9414. Оп. 1д. Д. 161. Л. 87. ,,,
,,,,,,,,,,,,,,,"Паникаров И.А. История поселков центральной Колымы. Магадан.: АО ""МАОБТИ"", 1995. С. 125–130.",,,
100002,АЗОВСКИЙ ИТЛ (Азовлаг),Время существования: организован 14.05.53 (переименован из СТРОИТЕЛЬСТВА 462 И ИТЛ) {36}; закрыт 05.06.53 [1].,,Подчинен: ГУЛАГ МЮ {36}.,"Дислокация: Украинская ССР, Днепропетровская обл., г.Кривой Рог {37}.","Литер: ЖЛ — перешел от предшественника {36, 37}.","Телегр. код: ""Арктика"" {37}.","Адрес: Днепропетровская обл., г.Кривой Рог, п/я ЖЛ-38 {37}.",Производство: обслуживание Стр-ва 462 [1].,Численность: 15.05.53 — 3590 [2].,"Начальники: и.о. нач. — полк. в/с Гриднев Н.А., ? — по 05.06.53 [1]1.","Архив: В ОИТК УМВД по Днепропетровской обл.: л/д з/к — 683, материалы делопроизводства {1, 2}.",,Примечание: ,Источники: ,"См. также: АЗОВСКОЕ ЛО, СТРОИТЕЛЬСТВО 462 И ИТЛ.",С.С. ,"47.910505, 33.391843"
,,,,,,,,,,,,,,"1 По всей вероятности, Н.А.Гриднев был и.о. нач. с момента переименования ИТЛ, так как 01.04.53 он назначен на должность и.о. нач. ИТЛ при Стр-ве 462 (предшественника АЗОВСКОГО ИТЛ) [3].",Пр. 072 МЮ от 05.06.53. ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф.9414. Оп.1д. Д.243. Разд.4. Л.15. ,,,
